url,title,snippet,text
https://www.cancer.gov/types/lung/patient/non-small-cell-lung-treatment-pdq,Inoperable stage III non-small cell lung cancer: Current treatment ...,"12-2359. Treatment of stage I and II non-small cell lung cancer: Diagnosis and 
management of lung cancer, 3rd ed: American College of Chest Physicians ...",
https://www.verywellhealth.com/stage-3b-non-small-cell-lung-cancer-2249382,Stage 3 | Lung cancer | Cancer Research UK,"Sep 26, 2019 ... Stage I – Stage I means that the tumor is smaller than or equal to 3 cm (about 1.2 
inches) in maximum diameter and has not spread to any other ...",
https://www.cancer.org/cancer/lung-cancer/treating-non-small-cell/by-stage.html,Patient education: Non-small cell lung cancer treatment; stage IV ...,"Combined small cell carcinoma. Non-small cell lung cancer. This is the most 
common type of lung cancer, accounting for 90 percent of all lung cancer 
diagnoses.",
https://www.cancer.gov/types/lung/hp/non-small-cell-lung-treatment-pdq,Inoperable stage III non-small cell lung cancer: Current treatment ...,"12-2359. Treatment of stage I and II non-small cell lung cancer: Diagnosis and 
management of lung cancer, 3rd ed: American College of Chest Physicians ...",
https://www.medicalnewstoday.com/articles/316450,Patient education: Non-small cell lung cancer treatment; stage I to III ...,"The treatment options for non-small cell lung cancer (NSCLC) are based ... Stage 
IIIB NSCLC has spread to lymph nodes that are near the other lung or in the ...",
https://www.uptodate.com/contents/non-small-cell-lung-cancer-treatment-stage-iv-cancer-beyond-the-basics,Stage 3B Non-Small Cell Lung Cancer,"Apr 24, 2020 ... Non-small cell lung cancer (NSCLC) treatment options include surgery, 
chemotherapy, radiation therapy, targeted therapy, and immunotherapy ...",
https://www.uptodate.com/contents/non-small-cell-lung-cancer-treatment-stage-i-to-iii-cancer-beyond-the-basics,Stage 3B Non-Small Cell Lung Cancer,"Apr 24, 2020 ... Non-small cell lung cancer (NSCLC) treatment options include surgery, 
chemotherapy, radiation therapy, targeted therapy, and immunotherapy ...",
https://www.healthgrades.com/right-care/lung-cancer/prognosis-and-life-expectancy-with-stage-3-non-small-cell-lung-cancer,Non-Small Cell Lung Cancer Treatment (PDQ®)–Patient Version ...,"Common treatments for stage IV non-small cell lung cancer: In stage IV lung 
cancer, chemotherapy is often the recommended course of treatment. 
Immunotherapy ...",
https://www.cancerresearchuk.org/about-cancer/lung-cancer/stages-types-grades/stage-3,Treatment of stage I and II non-small cell lung cancer: Diagnosis and ...,"Apr 24, 2020 ... Non-small cell lung cancer (NSCLC) treatment options include surgery, ... 
Treatment of Stage IIIB and Stage IIIC Non-Small Cell Lung Cancer.","Stage 3B can also mean different things.,Your cancer is less than 5cm and has spread into lymph nodes in one of these places:"
https://www.lungcancer.org/find_information/publications/163-lung_cancer_101/269-non_small_cell_lung_cancer_treatment,"Stage 3 lung cancer: Symptoms, treatment, and outlook","Treatments. With rare exceptions, stage 3B lung cancer is considered inoperable 
(surgery will not cure cancer) but is not untreatable. For those that are ...",
https://www.cancercenter.com/cancer-types/lung-cancer/stages,Treatment of stage III non-small cell lung cancer: Diagnosis and ...,"Stage IIIB includes patients with T4, any N, M0, and any T, N3, M0. Surgery may 
be indicated only for carefully selected T4N0M0 patients with or without ...",
https://www.cancercenter.com/cancer-types/lung-cancer/stages/stage-iv-lung-cancer,Treatment of stage III non-small cell lung cancer: Diagnosis and ...,"Stage IIIB includes patients with T4, any N, M0, and any T, N3, M0. Surgery may 
be indicated only for carefully selected T4N0M0 patients with or without ...",
